"Enabled","Włączona"
"Title","Nazwa"
"Enable Sandbox environment","Włącz środowisko Sandbox"
"Client ID","ID klienta"
"Client Secret","Klucz klienta"
"Notification Secret","Klucz powiadomień"
"Customer Username","Nazwa użytkownika"
"Customer Password","Hasło użytkownika"
"Sort Order","Kolejność sortowania"
"Authorization data for Volt","Dane autoryzacyjne dla Volt"
"Invalid response from Volt API. Please try again later.","Nieprawidłowa odpowiedź z API Volt. Spróbuj ponownie później."
"Waiting for payment confirmation","Oczekiwanie na potwierdzenie płatności"
"Invalid return data","Nieprawidłowe dane powrotu"
"Volt notification","Powiadomienie Volt"
"Status for pending payment","Status dla oczekującej płatności"
"Status for received payment","Status dla zakończonej płatności"
"Status for failed payment","Status dla nieudanej płatności"
"Refund Enabled","Zwroty włączone"
"In order to enable on-line refunds, you must have the Volt Connect service active.","W celu włączenia zwrotów online, musisz mieć aktywną usługę Volt Connect."
"Pay by Bank","Zapłać przez bank"
"Check out from your bank account. No card required.","Zapłać z konta bankowego. Karta nie jest wymagana."
"How Volt works","Jak działa Volt"
"Check out in three easy steps:","Zapłać w trzech prostych krokach:"
"Select your bank (99% of banks supported)","Wybierz swój bank (99% banków obsługiwanych)"
"Pay from your bank. No card needed.","Zapłać z banku. Nie potrzebna karta."
"Log into your account","Zaloguj się na swoje konto"
"Your bank details are never shared.","Twoje dane bankowe nigdy nie są udostępniane."
"Approve the payment","Zatwierdź płatność"
"That’s it. Faster and more secure.","To wszystko. Szybciej i bezpieczniej."
"Continue","Kontynuuj"
